Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
2/25/2012,,Holy Cross,L,3-7,32,3,7,3,0,0,0,9,1,3,1,1,1,1,1,8,30,15,0,.219,/boxscore.aspx?id=527&path=baseball,527
2/24/2012,,Holy Cross,W,3-2,36,3,6,3,2,0,0,11,2,5,1,0,1,0,1,11,33,11,0,.167,/boxscore.aspx?id=523&path=baseball,523
2/21/2012,,Stephen F. Austin,W,4-3,29,4,6,3,3,0,0,1,0,1,1,0,0,1,0,7,27,8,0,.207,/boxscore.aspx?id=520&path=baseball,520
2/19/2012,,Illinois-Chicago,W,7-0,32,7,10,7,3,0,0,5,0,2,1,1,0,2,0,4,27,9,0,.313,/boxscore.aspx?id=519&path=baseball,519
2/18/2012,,Illinois-Chicago,W,9-2,28,9,9,9,0,0,1,5,0,6,1,2,1,3,1,5,27,7,0,.321,/boxscore.aspx?id=518&path=baseball,518
2/17/2012,,Illinois-Chicago,W,10-0,36,10,13,6,2,0,2,5,0,3,0,0,0,0,1,7,27,10,1,.361,/boxscore.aspx?id=517&path=baseball,517
6/21/2011,vs,California,L,3-7,37,3,10,2,0,0,1,1,0,1,0,0,0,0,0,9,27,9,2,.270,/boxscore.aspx?id=3559&path=baseball,3559
6/19/2011,vs,South Carolina,L,4-5,29,4,4,4,0,1,0,5,0,2,0,0,2,0,1,10,24,10,1,.138,/boxscore.aspx?id=3558&path=baseball,3558
6/13/2011,at,Florida State,W,11-2,33,11,11,9,2,0,1,9,0,0,0,2,1,0,1,6,27,9,0,.333,/boxscore.aspx?id=3557&path=baseball,3557
6/12/2011,at,Florida State,L,9-23,36,9,12,9,3,0,0,6,0,2,0,1,0,2,2,9,27,7,4,.333,/boxscore.aspx?id=3556&path=baseball,3556
6/11/2011,at,Florida State,W,6-2,32,6,7,6,1,0,1,3,1,1,1,0,2,1,0,9,27,9,1,.219,/boxscore.aspx?id=3555&path=baseball,3555
6/7/2011,,Arizona,W,3-0,28,3,6,3,2,0,0,3,1,1,0,0,1,0,1,6,27,10,0,.214,/boxscore.aspx?id=3554&path=baseball,3554
6/5/2011,at,Arizona,L,4-7,30,4,6,0,2,0,0,8,0,2,1,1,1,0,1,6,24,11,0,.200,/boxscore.aspx?id=3552&path=baseball,3552
6/4/2011,at,Seton Hall,W,6-3,38,6,14,6,3,1,1,2,0,2,0,0,0,1,0,6,27,17,1,.368,/boxscore.aspx?id=3550&path=baseball,3550
6/3/2011,,Wright State,W,11-0,37,11,16,10,4,1,2,4,0,3,0,0,0,0,0,3,27,7,0,.432,/boxscore.aspx?id=3548&path=baseball,3548
5/29/2011,vs,Missouri,W,10-9,39,10,13,10,2,0,1,2,0,2,0,1,1,2,1,3,30,16,2,.333,/boxscore.aspx?id=3547&path=baseball,3547
5/28/2011,vs,Kansas State,W,9-8,42,9,14,7,1,0,0,7,1,3,1,0,1,1,0,9,33,16,1,.333,/boxscore.aspx?id=3546&path=baseball,3546
5/26/2011,vs,Kansas State,W,4-1,34,4,10,4,3,0,0,3,0,2,2,3,1,0,0,7,27,13,0,.294,/boxscore.aspx?id=3545&path=baseball,3545
5/25/2011,vs,Texas Tech,W,10-5,41,10,18,9,4,0,1,2,0,2,0,0,1,0,1,6,27,11,2,.439,/boxscore.aspx?id=3544&path=baseball,3544
5/21/2011,at,Texas,W,3-0,35,3,9,3,1,2,0,3,0,0,0,0,0,0,0,10,27,13,1,.257,/boxscore.aspx?id=3543&path=baseball,3543
5/20/2011,at,Texas,L,4-6,34,4,8,4,0,1,1,3,0,2,1,2,0,0,1,11,24,5,2,.235,/boxscore.aspx?id=3542&path=baseball,3542
5/19/2011,,Texas,L,2-4,31,2,7,2,0,0,0,2,0,2,0,1,1,0,1,12,27,12,1,.226,/boxscore.aspx?id=3541&path=baseball,3541
5/17/2011,,UT Arlington,W,1-0,25,1,5,1,1,0,0,2,0,1,0,0,1,1,2,3,27,13,0,.200,/boxscore.aspx?id=3540&path=baseball,3540
5/15/2011,,Nebraska,W,5-1,27,5,6,4,1,0,0,7,1,3,0,2,2,1,1,3,27,14,1,.222,/boxscore.aspx?id=3539&path=baseball,3539
5/14/2011,,Nebraska,W,5-2,30,5,11,4,0,0,0,1,0,2,2,1,3,0,0,5,27,10,0,.367,/boxscore.aspx?id=3538&path=baseball,3538
5/13/2011,,Nebraska,W,7-3,31,7,11,6,0,0,0,6,2,1,0,0,3,0,2,3,27,8,0,.355,/boxscore.aspx?id=3537&path=baseball,3537
